A1,A1,Freightliner
A2,A2,Ford
A3,A3,Ford
A4,A4,Kenworth
A5,A5,Hino
A6,A6,Caterpillar
A7,A7,Ford
A8,A8,Navistar
A9,A9,Volvo
A10,A10,Peterbilt
A11,A11,Peterbilt
A12,A12,Caterpillar
A13,A13,Oshkosh
A14,A14,Crane
A15,A15,Ford
A16,A16,Navistar
A17,A17,Western Star
A18,A18,Caterpillar
A19,A19,Caterpillar
A20,A20,Western Star
A21,A21,Hino
A22,A22,Caterpillar
A23,A23,Ford
A24,A24,Navistar
A25,A25,Volvo
A26,A26,Peterbilt
A27,A27,Peterbilt
A28,A28,Caterpillar
A29,A29,Ford
A30,A30,Ford
A31,A31,Kenworth
A32,A32,Hino
A33,A33,Caterpillar
A34,A34,Freightliner
A35,A35,Ford
A36,A36,Ford
A37,A37,Kenworth
A38,A38,Hino
A39,A39,Caterpillar
A40,A40,Ford
A41,A41,Navistar
A42,A42,Volvo
A43,A43,Peterbilt
A44,A44,Peterbilt
A45,A45,Caterpillar
A46,A46,Volvo
A47,A47,Peterbilt
A48,A48,Peterbilt
A49,A49,Caterpillar
A50,A50,Oshkosh
A51,A51,Crane
A52,A52,Ford
A53,A53,Navistar
A54,A54,Western Star
A55,A55,Caterpillar
A56,A56,Caterpillar
A57,A57,Freightliner
A58,A58,Ford
A59,A59,Ford
A60,A60,Caterpillar
A61,A61,Freightliner
A62,A62,Ford
A63,A63,Ford
A64,A64,Kenworth
A65,A65,Hino
A66,A66,Caterpillar
A67,A67,Ford
A68,A68,Navistar
A69,A69,Volvo
A70,A70,Peterbilt
A71,A71,Peterbilt
A72,A72,Caterpillar
A73,A73,Oshkosh
A74,A74,Kenworth
A75,A75,Hino
A76,A76,Caterpillar
A77,A77,Ford
A78,A78,Navistar
A79,A79,Volvo
A80,A80,Peterbilt
A81,A81,Peterbilt
A82,A82,Caterpillar
A83,A83,Oshkosh
A84,A84,Freightliner
A85,A85,Ford
A86,A86,Ford
A87,A87,Kenworth
A88,A88,Hino
A89,A89,Caterpillar
A90,A90,Ford
A91,A91,Navistar
A92,A92,Volvo
A93,A93,Navistar
A94,A94,Volvo
A95,A95,Peterbilt
A96,A96,Peterbilt
A97,A97,Caterpillar
A98,A98,Volvo
A99,A99,Peterbilt
A100,A100,Peterbilt
