Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,2350.419922,2356.219971,2335.73999,2343.97998,2975130000,2343.97998
2017-03-23,2345.969971,2358.919922,2342.129883,2345.959961,3260600000,2345.959961
2017-03-22,2343.00,2351.810059,2336.449951,2348.449951,3572730000,2348.449951
2017-03-21,2379.320068,2381.929932,2341.899902,2344.02002,4265590000,2344.02002
2017-03-20,2378.23999,2379.550049,2369.659912,2373.469971,3054930000,2373.469971
2017-03-17,2383.709961,2385.709961,2377.639893,2378.25,5178040000,2378.25
2017-03-16,2387.709961,2388.100098,2377.179932,2381.379883,3365660000,2381.379883
2017-03-15,2370.340088,2390.01001,2368.939941,2385.26001,3906840000,2385.26001
2017-03-14,2368.550049,2368.550049,2358.179932,2365.449951,3172630000,2365.449951
2017-03-13,2371.560059,2374.419922,2368.52002,2373.469971,3133900000,2373.469971
2017-03-10,2372.52002,2376.860107,2363.040039,2372.600098,3432950000,2372.600098
2017-03-09,2363.48999,2369.080078,2354.540039,2364.870117,3716340000,2364.870117
2017-03-08,2369.810059,2373.090088,2361.01001,2362.97998,3812100000,2362.97998
2017-03-07,2370.73999,2375.120117,2365.51001,2368.389893,3518390000,2368.389893
2017-03-06,2375.22998,2378.800049,2367.97998,2375.310059,3232700000,2375.310059
2017-03-03,2380.919922,2383.889893,2375.389893,2383.120117,3555260000,2383.120117
2017-03-02,2394.75,2394.75,2380.169922,2381.919922,3821320000,2381.919922
2017-03-01,2380.129883,2400.97998,2380.129883,2395.959961,4345180000,2395.959961
2017-02-28,2366.080078,2367.790039,2358.959961,2363.639893,4210140000,2363.639893
2017-02-27,2365.22998,2371.540039,2361.870117,2369.72998,3582610000,2369.72998
2017-02-24,2355.72998,2367.340088,2352.870117,2367.340088,3831570000,2367.340088
2017-02-23,2367.50,2368.26001,2355.090088,2363.810059,4015260000,2363.810059
2017-02-22,2361.110107,2365.129883,2358.340088,2362.820068,3468670000,2362.820068
2017-02-21,2354.909912,2366.709961,2354.909912,2365.379883,3579780000,2365.379883
2017-02-17,2343.01001,2351.159912,2339.580078,2351.159912,3513060000,2351.159912
2017-02-16,2349.639893,2351.310059,2338.870117,2347.219971,3672370000,2347.219971
2017-02-15,2335.580078,2351.300049,2334.810059,2349.25,3775590000,2349.25
2017-02-14,2326.120117,2337.580078,2322.169922,2337.580078,3520910000,2337.580078
2017-02-13,2321.719971,2331.580078,2321.419922,2328.25,3349730000,2328.25
2017-02-10,2312.27002,2319.22998,2311.100098,2316.100098,3475020000,2316.100098
2017-02-09,2296.699951,2311.080078,2296.610107,2307.870117,3677940000,2307.870117
2017-02-08,2289.550049,2295.909912,2285.379883,2294.669922,3609740000,2294.669922
2017-02-07,2295.870117,2299.399902,2290.159912,2293.080078,3448690000,2293.080078
2017-02-06,2294.280029,2296.179932,2288.570068,2292.560059,3109050000,2292.560059
2017-02-03,2288.540039,2298.310059,2287.879883,2297.419922,3597970000,2297.419922
2017-02-02,2276.689941,2283.969971,2271.649902,2280.850098,3807710000,2280.850098
2017-02-01,2285.590088,2289.139893,2272.439941,2279.550049,3916610000,2279.550049
2017-01-31,2274.02002,2279.090088,2267.209961,2278.870117,4087450000,2278.870117
2017-01-30,2286.01001,2286.01001,2268.040039,2280.899902,3591270000,2280.899902
2017-01-27,2299.02002,2299.02002,2291.620117,2294.689941,3135890000,2294.689941
2017-01-26,2298.629883,2300.98999,2294.080078,2296.679932,3610360000,2296.679932
2017-01-25,2288.879883,2299.550049,2288.879883,2298.370117,3846020000,2298.370117
2017-01-24,2267.879883,2284.629883,2266.679932,2280.070068,3810960000,2280.070068
2017-01-23,2267.780029,2271.780029,2257.02002,2265.199951,3152710000,2265.199951
2017-01-20,2269.959961,2276.959961,2265.01001,2271.310059,3524970000,2271.310059
